"path","bytes","sha256","access"
"outputs/cache/v40f_no_rationale_states.npz","4228039","3b6cf4d78cb3006490a317a22dffac3886861d634a7782f216c50ba1c9159f78","external_archive_or_regenerate"
"outputs/poc_v40b_commitment_generation_results.json","1241649","e91efe8037f16c79daeca2abc691edeccb25fb35423598f6b3c5eb2bcaa0e144","external_archive_or_regenerate"
"outputs/cache/v41_hotpot_no_rationale_states.npz","8690319","f10b7997d63c538ddc39f1083c65717058eb93ad2e26a536e1abd5b8c06415b2","external_archive_or_regenerate"
"outputs/poc_v41_hotpot_no_rationale_generation_results.json","1059521","7093d310bcc84a4a746dec3ddd855afbea9bbea199a8a2aff087ab9b85a5f232","external_archive_or_regenerate"
"outputs/cache/v42_hotpot_no_rationale_states.npz","8627000","89789516a442703e7732555f6b389aee1d06f93b23eaa7ce24cd6fc959232616","external_archive_or_regenerate"
"outputs/poc_v42_hotpot_no_rationale_generation_results.json","1064622","1e6f5cf2ee13218e7f376d5f123dbcc3d6c132bb3add008fa6218b096736f7da","external_archive_or_regenerate"
"outputs/cache/v45_hotpot_no_rationale_states.npz","8644409","5959f3024d8c1348b7b1bc36f8c1e15e210a3f4e14eeec8ea8f5400af90882b8","external_archive_or_regenerate"
"outputs/poc_v45_hotpot_no_rationale_generation_results.json","1064718","ec8768bd00e3712624c9b5601e00f54280bfae0d8fec952b97ccd7f6e46dd875","external_archive_or_regenerate"
"outputs/cache/v40_machine_verifiable_states_clean.npz","18753371","fbf46b6aa46954fbf66ea2fa754f7bf0e73d97a402b172c0aae75526789483a7","external_archive_or_regenerate"
"outputs/cache/v40d_answer_only_states.npz","4219026","279e9fd8ec73435880d3f12db34ad15d6cf6260d9d627a18d7fd63dc6806865d","external_archive_or_regenerate"
"outputs/cache/v41_hotpot_answer_only_states.npz","4394425","81a16f28d8213994914d0b441a3c2c8bb7132f29bcb00776391d6dba843973b6","external_archive_or_regenerate"
"outputs/cache/fpe14_gemma_trivia_confirmatory_trajectory_states.npz","23657588","a5a9017b8734f0b004e7b5348407a8b2b4cb851b121af422de90c49b0d013358","external_archive_or_regenerate"
"outputs/cache/fpe14_qwen15_trivia_confirmatory_trajectory_states.npz","7969892","b3d118773c9a60ba34bbdb751578bc208396807dfb554eb897e83f8a40283184","external_archive_or_regenerate"
"outputs/cache/nn10_gemma_evidence_trajectory_states.npz","13065282","01cf73f17b9d302f24a29549be3936c85c2040a69882a76f73948e02b7607a2f","external_archive_or_regenerate"
"outputs/cache/nn10_qwen15_evidence_trajectory_states.npz","3331761","49f97627077bf47fd72bf09a095005480466346beaf9609edce8e7c7cec9e009","external_archive_or_regenerate"
"outputs/cache/nn19_qwen7b_webquestions_trajectory_states.npz","22904024","7b4356bd986a76d54a500419aee4944e84163753167113a06c332f42197ece4b","external_archive_or_regenerate"
"data/fpe14_gemma_trivia_confirmatory_trajectory.jsonl","2877264","c9e10e8de6e834feb9b0a8631d29a6a40f0e70b8b803319257af9e00920bd7eb","external_archive_or_regenerate"
"data/fpe14_qwen15_trivia_confirmatory_trajectory.jsonl","3092080","2a099e0bdb3cf9e6b676b83338f04f82c0962dc1597e3f258a1e714eb2728b5b","external_archive_or_regenerate"
"data/nn8_gemma_trajectory.jsonl","1559733","55d3ea212b6f29030dfa9dff69a01758433b3805fbd95218cc2fa6848f8fd3c9","external_archive_or_regenerate"
"data/nn10_gemma_evidence_trajectory.jsonl","4984240","21be278663311d647b9c868230fcb1b3a7628d385432c83243c7ab24bef6390a","external_archive_or_regenerate"
"data/nn8_qwen15_trajectory.jsonl","1683543","19f5000a539f9c68ea297ab64f169f2459fa97fae0054d344cf9bada93e3cc79","external_archive_or_regenerate"
"data/nn10_qwen15_evidence_trajectory.jsonl","5200152","29fd620aa9caf351fbcc84fc7d0f332804425b44cfeb6200104e66b0433eaa38","external_archive_or_regenerate"
"data/nn19_qwen7b_webquestions_trajectory.jsonl","4355593","fa5d3206a30a760ef35ceb9fea763072c0df67cd57486677a60c65ff8deb46f5","external_archive_or_regenerate"
"data/v45_hotpot_adapter_confirmation_candidates.jsonl","686847","9288c6c157cd2a377bf4646c49ab111e964413d168b1d1e8855d6e7550aa8aaa","external_archive_or_regenerate"
